2026-06-17T17:57:17.101Z | fixtures | success | records=336 | started=2026-06-17T17:57:16.524Z
2026-06-17T17:57:17.111Z | live | success | records=25 | started=2026-06-17T17:57:16.524Z
2026-06-17T17:57:17.695Z | leagues | success | records=1229 | started=2026-06-17T17:57:16.524Z
2026-06-17T17:57:25.647Z | leagues | success | records=1229 | started=2026-06-17T17:57:25.068Z
2026-06-17T17:57:26.377Z | fixtures | success | records=336 | started=2026-06-17T17:57:25.648Z
2026-06-17T17:57:26.769Z | live | success | records=25 | started=2026-06-17T17:57:26.377Z
2026-06-17T20:11:35.022Z | results | success | records=192 | started=2026-06-17T20:11:34.347Z
2026-06-17T20:11:39.928Z | live | success | records=5 | started=2026-06-17T20:11:39.398Z
2026-06-17T20:11:39.997Z | match-detail:1495495 | success | records=1 | started=2026-06-17T20:11:39.446Z
2026-06-17T20:11:45.502Z | leagues | success | records=1229 | started=2026-06-17T20:11:44.372Z
2026-06-17T20:11:46.025Z | fixtures | success | records=336 | started=2026-06-17T20:11:45.503Z
2026-06-17T20:11:46.417Z | live | success | records=5 | started=2026-06-17T20:11:46.026Z
2026-06-17T20:11:46.945Z | results | success | records=192 | started=2026-06-17T20:11:46.418Z
2026-06-18T08:18:48.326Z | logo-assets | success | records=1863 | started=2026-06-18T08:18:30.016Z
